song_name,cleaned_artists,popularity
Bad Brakes,Yusuf / Cat Stevens,21
Love Don't Live Here Anymore,Rose Royce,47
Lonely Wind,Kansas,26
For You And I,10cc,20
Take That to the Bank,Shalamar,32
One Last Kiss,The J. Geils Band,17
Sharing The Night Together,Dr. Hook,58
You Need A Woman Tonight,Captain & Tennille,11
(Our Love) Don't Throw It All Away,Andy Gibb,45
Dancin' Shoes,Faith Band,8
Who Do Ya Love?,KC & The Sunshine Band,12
Chip Away The Stone,Aerosmith,27
Double Vision,Foreigner,51
I Love The Nightlife (Disco 'Round),Alicia Bridges,40
Strange Way,Firefall,36
Lost in Your Love,John Paul Young,11
How You Gonna See Me Now,Alice Cooper,45
A Man I'll Never Be,Boston,42
Instant Replay,Dan Hartman,42
You Took the Words Right Out of My Mouth,Meat Loaf,26
My Best Friend's Girl,The Cars,62
This Moment In Time,Engelbert Humperdinck,3
Time Passages,Al Stewart,40
I Just Wanna Stop,Gino Vannelli,47
Radioactive,Gene Simmons,37
I'm Every Woman,Chaka Khan,62
Silver Lining,Player,3
Mary's Boy Child / Oh My Lord,Boney M.,28
Easy Driver,Kenny Loggins,13
How Much I Feel,Ambrosia,57
Straight On,Heart,47
Sweet Life,Paul Davis,40
Need You Bad,Ted Nugent,24
In the Bush,Musique,28
Your Sweetness Is My Weakness,Barry White,26
Alive Again,Chicago,19
Part Time Love,Elton John,37
Got To Have Loving,Cerrone,30
You've Really Got a Hold On Me,Eddie Money,30
I Believe You,"['Royal Philharmonic Orchestra', 'Carpenters']",42
You Needed Me,Anne Murray,53
Hot Child In The City,The Nick Gilder Sweeney Todd Group,33
Mañana,Jimmy Buffett,41
Light the Sky on Fire,Jefferson Starship,28
Well All Right,Santana,30
Run for Home,Lindisfarne,38
There'll Never Be,Switch,37
Forever Autumn,"['Richard Burton', 'Jeff Wayne', 'Justin Hayward']",41
Change Of Heart,Eric Carmen,22
Can You Fool,Glen Campbell,6
Don't Want To Live Without It,David Jenkins Of Pablo Cruise,0
You Never Done It Like That,Captain & Tennille,14
Ready to Take a Chance Again,Barry Manilow,39
Love Me Again,Rita Coolidge,7
Dance (Disco Heat),Sylvester,29
Driftwood,The Moody Blues,33
Hot Shot,Karen Young,29
#1 Dee Jay,Goody Goody,17
Blue Collar Man (Long Nights),Styx,48
Fun Time,Joe Cocker,12
Kiss You All Over,Exile,56
Let the Song Last Forever,Dan Hill,13
Blame It on the Boogie,The Jacksons,68
Everybody Needs Love,Stephen Bishop,18
Get Off,Foxy,39
Reminiscing,Little River Band,31
Whatever Happened to Benny Santini?,Chris Rea,30
Dancing In Paradise,El Coco,5
Beast Of Burden,The Rolling Stones,38
Love Is In The Air,John Paul Young,59
Dreadlock Holiday,10cc,66
Who Are You,The Who,68
Soft and Wet,Prince,47
Boogie Oogie Oogie,ATaste Of Honey,30
It's A Laugh,Daryl Hall & John Oates,25
Talking In Your Sleep,Crystal Gayle,41
Flying High,Commodores,21
It's Over,Electric Light Orchestra,46
Substitute,Clout,42
Prisoner of Your Love,Player,9
She's Always a Woman,Billy Joel,69
Greased Lightnin',"['John Travolta', 'Jeff Conaway']",58
Right Down the Line,Gerry Rafferty,65
Took the Last Train,David Gates,27
Champagne Jam,Atlanta Rhythm Section,26
Raining In My Heart,Leo Sayer,23
Don't Look Back,Boston,54
Back In The U.S.A.,"['Chuck Berry', 'Linda Ronstadt']",12
Hopelessly Devoted to You,Patricia Lewis,1
Do You Feel All Right,KC & The Sunshine Band,7
"So Young, So Bad",Starz,7
Josie,Steely Dan,41
Three Times A Lady,Commodores,60
Almost Like Being In Love,Michael Johnson,20
An Everlasting Love,Andy Gibb,39
Listen to Her Heart,Tom Petty and the Heartbreakers,50
5.7.0.5,City Boy,31
Heartbreaker,Dolly Parton,32
"Take Me, I'm Yours","['Rena Scott', 'Michael Henderson']",26
Magnet and Steel,Walter Egan,0
Come Together,Aerosmith,54
You And I,Rick James,40
Holding On (When Love Is Gone),L.T.D.,38
Hot Blooded,Foreigner,61
Shame,"Evelyn ""Champagne"" King",49
Fool (If You Think It's Over),Chris Rea,40
Got to Get You Into My Life,"Earth, Wind & Fire",50
Crazy Feelin',Jefferson Starship,18
Paradise By the Dashboard Light,Meat Loaf,64
Brandy,The O'Jays,30
You,The McCrarys,9
All I See Is Your Face,Dan Hill,18
Miss You,The Rolling Stones,42
Just What I Needed,The Cars,69
Badlands,Bruce Springsteen,56
Let's Get Crazy Tonight,Rupert Holmes,22
What Goes Up,The Alan Parsons Project,34
Close the Door,Teddy Pendergrass,42
Macho Man,Village People,54
The Joker,Snail,5
Think It Over,Cheryl Ladd,7
Last Dance,Donna Summer,46
A Rock 'n' Roll Fantasy,The Kinks,26
Love Will Find A Way,Pablo Cruise,20
Two Tickets to Paradise,Eddie Money,63
Our Night,Shaun Cassidy,9
New Orleans Ladies,LeRoux,32
Stuff Like That,"['Nickolas Ashford', 'Valerie Simpson', 'Quincy Jones', 'Chaka Khan']",35
Copacabana (At the Copa),Barry Manilow,58
Rivers of Babylon,Boney M.,61
She Loves to Be In Love,Charlie,1
Livingston Saturday Night,Steel Drum Island,17
Steppin' In A Slide Zone,The Moody Blues,32
In For The Night,Nitty Gritty Dirt Band,4
Takin' It Easy,Seals and Crofts,21
You,Rita Coolidge,18
Life's Been Good,Joe Walsh,68
Flyin',Prism,5
Long Hot Summer Nights,Wendy Waldman,5
Surrender,Cheap Trick,69
Arms Of Mary,Chilliwack,7
Mr. Blue Sky,Electric Light Orchestra,79
Runaway,Jefferson Starship,43
Dance with Me,"['Peter Brown', 'Betty Wright']",23
Runaway Love,Linda Clifford,16
California Nights,Sweet,5
I'm Not Gonna Let It Bother Me Tonight,Atlanta Rhythm Section,17
King Tut,The Karaoke Channel,0
Use ta Be My Girl,The O'Jays,46
Can We Still Be Friends?,Todd Rundgren,40
Wonderful Tonight,Eric Clapton,70
I've Had Enough,Heartflight,0
Back in My Arms Again,Genya Ravan,1
The Groove Line,Heatwave,32
Take A Chance On Me,ABBA,65
Two Out of Three Ain't Bad,Meat Loaf,58
Will You Still Love Me Tomorrow?,Dave Mason,28
I Need to Know,Tom Petty and the Heartbreakers,49
Songbird,Barbra Streisand,20
Love Or Something Like It,Kenny Rogers,36
Ready Or Not,Helen Reddy,3
Break It To Them Gently,Burton Cummings,13
Wild In The Streets,British Lions,0
If I Ever See You Again,Roberta Flack,32
It's a Heartache,Bonnie Tyler,63
You Belong To Me,Carly Simon,45
Bluer Than Blue,Michael Johnson,44
You Don't Love Me Anymore,Eddie Rabbitt,14
Only the Good Die Young,Billy Joel,63
I Can't Stand the Rain,Eruption,41
Prove It All Night,Bruce Springsteen,49
Love Is Like Oxygen,Sweet,46
Because the Night,Patti Smith,63
Only One Love In My Life,Ronnie Milsap,21
"Hot Love, Cold World",Bob Welch,18
Never Let Her Slip Away,Andrew Gold,43
I Can't Wait Any Longer,Bill Anderson,11
Dance Across The Floor,"Jimmy ""Bo"" Horne",40
You're the Love,Seals and Crofts,29
Even Now,Barry Manilow,48
Feels So Good,Chuck Mangione,47
Every Kinda People,Robert Palmer,56
You Can't Dance,England Dan & John Ford Coley,4
This Night Won't Last Forever,Bill LaBounty,25
With a Little Luck,L.A Sounds,6
Stone Blue,"['Don Berman', 'Foghat']",15
Roll with the Changes,REO Speedwagon,55
Anytime,Journey,44
Dream Lover,The Marshall Tucker Band,9
On The Wrong track,Kevin Lamb,0
Portrait (He Knew),Kansas,35
Deacon Blues,Steely Dan,48
It's the Same Old Song,KC & The Sunshine Band,22
I Was Only Joking,Rod Stewart,46
Heartless,A Day To Remember,40
Oh What A Night For Dancing,Barry White,37
Warm Ride,Rare Earth,17
Baby Hold On,Eddie Money,56
On Broadway,George Benson,52
Ca plane pour moi,Plastic Bertrand,58
Cheeseburger In Paradise,Jimmy Buffett,56
Georgia On My Mind,Willie Nelson,44
Disco Inferno,The Trammps,52
This Time I'm In It For Love,Player,34
Imaginary Lover,Atlanta Rhythm Section,33
If I Can't Have You,"['David Levy', 'Yvonne Elliman']",15
Everybody Dance,CHIC,29
Midnight Light,LeBlanc And Carr,4
Stay,"['Chaka Khan', 'Rufus & Chaka Khan']",30
You Got It,Diana Ross,7
You Keep Me Dancing,Samantha Sang,15
Take Me Back to Chicago,Chicago,19
Weekend Lover,Odyssey,11
Movin' Out (Anthony's Song),Billy Joel,55
Count on Me,Jefferson Starship,47
Tumbling Dice,Linda Ronstadt,35
Can't Smile Without You,Barry Manilow,60
Werewolves of London,Warren Zevon,53
Dust in the Wind,Kansas,75
Lay Down Sally,Eric Clapton,58
Stayin' Alive,Bee Gees,55
Fantasy,"Earth, Wind & Fire",45
Jack and Jill,Raydio,41
Sweet Talkin' Woman,Electric Light Orchestra,57
Two Doors Down,Dolly Parton,46
Running on Empty,Jackson Browne,68
Since You Been Gone,Head East,31
Ego,Elton John,20
The Wanderer,Leif Garrett,14
Our Love,Natalie Cole,32
Do You Believe In Magic,Shaun Cassidy,18
I Want to Live,John Denver,15
Flash Light,Parliament,61
Wheel in the Sky,Journey,60
Goodbye Girl,David Gates,55
I'm On My Way,Captain & Tennille,11
Where Have You Been All My Life,Fotomaker,14
Runnin' with the Devil,Van Halen,41
I Go Crazy,Paul Davis,53
Mama Let Him Play,Doucette,41
More Than A Woman,Tavares,35
Make You Feel Love Again,Wet Willie,1
Fooling Yourself (The Angry Young Man),Styx,44
Ain't Gonna Eat Out My Heart Anymore,Angel,4
(Love Is) Thicker Than Water,Andy Gibb,40
Ebony Eyes,Bob Welch,44
Thank You for Being a Friend,Andrew Gold,49
Always and Forever,Heatwave,53
Emotion,"['Samantha Sang', 'Bee Gees']",50
You'll Love Again,Hôtel,3
Do You Wanna Dance?,Ramones,25
"Yank Me, Crank Me",Ted Nugent,23
Lady Love,Lou Rawls,45
Just the Way You Are,Billy Joel,65
How Deep Is Your Love,Bee Gees,74
Before My Heart Finds Out,Gene Cotton,24
Baby Come Back,Player,58
Thunder Island,Jay Ferguson,45
I'm Gonna Take Care of Everything,Rubicon,7
"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",CHIC,38
You Got That Right,Lynyrd Skynyrd,43
Don't Cost You Nothing,Ashford & Simpson,22
Rocket Ride,KISS,35
Ready For The Times To Get Better,Crystal Gayle,15
"Sweet, Sweet Smile",Carpenters,34
That's Your Secret,Sea Level,33
The Circle Is Small (I Can See It in Your Eyes),The Karaoke Channel,0
Rumour Has It,Donna Summer,24
Hot Legs,Rod Stewart,48
It's A Heartache,Juice Newton,32
Never Get Enough Of Your Love,L.T.D.,8
Falling,LeBlanc And Carr,27
Sometimes When We Touch,Dan Hill,58
Boogie Shoes,KC & The Sunshine Band,36
Your Love Is So Good For Me,Diana Ross,12
It's You That I Need,Enchantment,38
Happy Anniversary,Little River Band,17
It Amazes Me,John Denver,21
I Love My Music,Wild Cherry,15
Kings And Queens,Aerosmith,43
We Fell in Love While Dancing,BILL BRANDON,11
Little One,Chicago,0
The Name Of The Game,ABBA,52
Hollywood,Boz Scaggs,18
(Any Way That You Want It) I'll Be There,Starz,3
Miss Broadway,Belle Epoque,36
Honey Don't Leave L.A.,James Taylor,25
What's Your Name,Lynyrd Skynyrd,50
Disco Rufus,Stargard,1
The Way You Do The Things You Do,Rita Coolidge,18
Peg,Steely Dan,50
Number One,Eloise Laws,1
"Poor, Poor Pitiful Me",Linda Ronstadt,38
Short People,Randy Newman,45
You're in My Heart (The Final Acclaim),Rod Stewart,49
Native New Yorker,Odyssey,43
Love Me Right,Denise LaSalle,5
Silver Dreams,The Babys,11
Psycho Killer,Talking Heads,46
California,Debby Boone,17
"Long, Long Way from Home",Foreigner,43
Theme From Close Encounters,Meco,3
"Let It Go, Let It Flow",Dave Mason,25
Too Hot Ta Trot,Commodores,45
Desiree,Ricardo Caliente,0
Street Corner Serenade,Wet Willie,21
Galaxy,War,24
I Can't Hold On,Karla Bonoff,13
Come Go With Me,Pockets ,22
Rockaway Beach,Ramones,30
Serpentine Fire,"Earth, Wind & Fire",50
What's Your Name What's Your Number,Andrea True Connection,27
Breakdown,Tom Petty and the Heartbreakers,63
Hey Deanie,Shaun Cassidy,24
Turn to Stone,Electric Light Orchestra,61
Lovely Day,Bill Withers,72
I Love You,Donna Summer,23
Slip Slidin' Away,Paul Simon,54
Shout It Out Loud,KISS,48
Take Me To The Kaptin,Prism,22
Come Sail Away,Styx,63
So Long,Firefall,19
Ain't Gonna Hurt Nobody,Brick,41
Here You Come Again,Dolly Parton,64
You Light Up My Life,Debby Boone,55
(Every Time I Turn Around) Back In Love Again,L.T.D.,41
Supernature,Cerrone,45
Easy To Love,Leo Sayer,35
Sentimental Lady,Bob Welch,48
Runaround Sue,Leif Garrett,19
Reach for It,George Duke,19
Blue Bayou,Linda Ronstadt,62
Point of Know Return,Kansas,47
Crazy On You,Heart,65
Sweet Music Man,Kenny Rogers,36
The Next Hundred Years,Al Martino,0
Touch and Gone,Gary Wright,2
As,Stevie Wonder,58
Don't It Make My Brown Eyes Blue,Crystal Gayle,55
It's so Easy,Linda Ronstadt,45
Ooh Boy,Rose Royce,11
Belle,Al Green,32
If You're Not Back In Love By Monday,Millie Jackson,10
Gettin' Ready For Love,Diana Ross,12
My Way,Elvis Presley,53
How Can I Leave You Again,John Denver,18
You Make Me Crazy,Sammy Hagar,5
We're All Alone,Rita Coolidge,53
Tried To Love,Peter Frampton,11
What A Difference You've Made In My Life,Ronnie Milsap,37
Your Smiling Face,James Taylor,58
Any Way You Want Me,The Sylvers,0
Don't Ask My Neighbors,The Emotions,42
Boogie Nights,Heatwave,54
Was Dog A Doughnut?,Yusuf / Cat Stevens,22
Wrap Your Arms Around Me,KC & The Sunshine Band,19
You Make Loving Fun,Fleetwood Mac,49
Baby What a Big Surprise,Chicago,5
It's Ecstasy When You Lay Down Next To Me,Barry White,43
Boats Against the Current,Eric Carmen,17
Don't Let It Show,The Alan Parsons Project,36
She's Not There,Santana,49
Calling Occupants of Interplanetary Craft,Isabella Taviani,16
We Just Disagree,Dave Mason,45
Send in the Clowns,Judy Collins,42
Nobody Does It Better,Carly Simon,55
I Honestly Love You,"['Olivia Newton-John', 'John Farnham']",24
Never My Love,The Addrisi Brothers,0
Dusic,Brick,26
That's Rock 'N' Roll,Shaun Cassidy,30
Don't Let The Flame Burn Out,Jackie DeShannon,0
Just Remember I Love You,Firefall,46
Draw The Line,Aerosmith,35
Help Is on It's Way,Little River Band,29
From Graceland To The Promised Land,Merle Haggard,2
Grandmother's Song,Steve Martin,14
Do Ya Wanna Get Funky with Me,Peter Brown,12
Heaven's Just A Sin Away,The Kendalls,32
Kick It Out,Heart,37
Brick House,Commodores,66
Cold as Ice,Foreigner,68
Keep It Comin' Love,KC & The Sunshine Band,32
She Did It,Eric Carmen,4
"Signed, Sealed, Delivered I'm Yours",Peter Frampton,30
Daybreak,Barry Manilow,31
Thunder In My Heart,Leo Sayer,36
"Money, Money, Money",ABBA,56
Surfin' USA,Leif Garrett,21
The King Is Gone,"['Millie Kirkham', 'Scotty Moore', 'The Jordanaires', 'Dj Fontana', 'Ronnie McDowell']",14
Fair Game,"Crosby, Stills & Nash",32
You're Moving Out Today,Carole Bayer Sager,30
Silver Lady,David Soul,38
Why Do Lovers Break Each Other's Heart?,Daryl Hall & John Oates,12
Shake It Well,The Dramatics,8
On And On,Stephen Bishop,57
"Changes In Latitudes, Changes In Attitudes",Jimmy Buffett,54
Goin' Places,The Jacksons,24
Hard Times,Boz Scaggs,16
I Just Want To Be Your Everything,Andy Gibb,50
The Happy Girls,Helen Reddy,14
Echoes of Love,The Doobie Brothers,34
Georgia Rhythm,Atlanta Rhythm Section,27
Doctor Love,First Choice,31
Spaceship Superstar,Prism,27
It Was Almost Like A Song,Ronnie Milsap,37
I Just Want to Make Love to You,"['Vinyl on HBO', 'Foghat']",26
Way Down,Elvis Presley,46
Telephone Line,Electric Light Orchestra,60
Best of My Love,The Emotions,64
I Wouldn't Want to Be Like You,The Alan Parsons Project,50
I Believe You,Dorothy Moore,11
Love Gun,KISS,56
Time Bomb,Lake,10
Strawberry Letter 23,The Brothers Johnson,61
We Never Danced To A Love Song,The Manhattans,29
(Your Love Has Lifted Me) Higher And Higher,Rita Coolidge,40
Another Star,Stevie Wonder,45
The Greatest Love of All,George Benson,16
Easy,Commodores,76
Handy Man,James Taylor,49
Cat Scratch Fever,Ted Nugent,57
Float On,The Floaters,42
Little Queen,Heart,37
Don't Worry Baby,B.J. Thomas,33
Daytime Friends,Kenny Rogers,41
How Much Love,Leo Sayer,19
Just A Song Before I Go,"Crosby, Stills & Nash",44
Edge Of The Universe,Bee Gees,24
Needles and Pins,Smokie,43
Baby Love,Mother's Finest,48
Barracuda,Heart,73
I Believe In Love,Kenny Loggins,29
Be My Lady,The Meters,0
Disco 9000,Johnnie Taylor,6
Whatcha Gonna Do?,Pablo Cruise,11
Hold On,Wild Cherry,23
O-H-I-O,Ohio Players,7
I'm In You,Peter Frampton,43
Sunshine,Enchantment,36
Da Doo Ron Ron,Shaun Cassidy,34
Dog Days,Atlanta Rhythm Section,13
Hard Rock Café,Carole King,34
Black Betty,Ram Jam,64
Christine Sixteen,KISS,32
My Own Way To Rock,Burton Cummings,16
Hold Tight,Vicki Sue Robinson,3
The Martian Boogie,Brownsville Station,21
Give A Little Bit,Supertramp,73
Good Morning Judge,10cc,49
Can't You See,The Marshall Tucker Band,65
Sheena Is a Punk Rocker,Ramones,28
You Made Me Believe In Magic,Bay City Rollers,8
Some Enchanted Evening,Jane Olivor,7
Indian Summer,Poco,23
So You Win Again,Hot Chocolate,49
A Real Mother For Ya,"Johnny ""Guitar"" Watson",34
You're My World,Helen Reddy,40
You and Me,Alice Cooper,37
If I Have To Go Away,Jigsaw,10
Telephone Man,Meri Wilson,9
Do You Wanna Make Love,Peter McCann,8
Sunflower,Glen Campbell,33
Undercover Angel,Alan O'Day,25
I'm Dreaming,Jennifer Warnes,9
L.A. Sunshine,War,7
My Heart Belongs to Me,Barbra Streisand,35
Looks Like We Made It,Barry Manilow,45
Little Darling (I Need You),The Doobie Brothers,35
Slide,"['Jimmy Douglas', 'Slave']",45
Ariel,Dean Friedman,34
Ma Baker,Boney M.,52
You're the Only One,The J. Geils Band,14
Make It With You,The Whispers,2
See You When I Git There,Lou Rawls,44
Superman,Celi Bee & The Buzzy Bunch,6
It's a Crazy World,Mac McAnally,11
Nothing But A Breeze,Jesse Winchester,19
Rock And Roll Never Forgets,Bob Seger,48
Margaritaville,Jimmy Buffett,64
Hurry Sundown,The Outlaws,30
(Remember The Days Of The) Old Schoolyard,Yusuf / Cat Stevens,40
My Cherie Amour,Soul Train Gang,2
Walk Right In,Dr. Hook,38
Turning to You,Charlie,5
"Knowing Me, Knowing You",ABBA,61
Angel in Your Arms,The Karaoke Channel,0
"Baby, Don't Change Your Mind",Gladys Knight & The Pips,33
It's Sad to Belong,The Karaoke Channel,0
Down the Hall,Frankie Valli & The Four Seasons,1
Dreams,Fleetwood Mac,57
Feels like the First Time,Foreigner,40
I Don't Love You Anymore,Teddy Pendergrass,27
"Luckenbach, Texas (Back to the Basics of Love)",Waylon Jennings,59
If It's The Last Thing I Do,Thelma Houston,13
Party Lights,Natalie Cole,4
It's Uncanny,Daryl Hall & John Oates,35
High School Dance,The Sylvers,6
"Sing It, Shout It",Starz,11
Livin' In the Life,The Isley Brothers,24
Runaway,Studio Musicians,0
Something About You,LeBlanc And Carr,5
Lonely Boy,Andrew Gold,51
While I'm Alone,"['Frankie Beverly', 'Maze']",32
Lucille,Kenny Rogers,52
Gonna Love You More,George Benson,20
Love's Grown Deep,Kenny Nolan,37
I'm Your Boogie Man,KC & The Sunshine Band,49
Ain't Gonna Bump No More (With No Big Fat Woman),Joe Tex,31
Heard It in a Love Song,The Marshall Tucker Band,54
Sir Duke,Stevie Wonder,70
It Feels so Good to Be Loved so Bad,The Manhattans,32
All You Get From Love Is A Love Song,Carpenters,40
Come In From The Rain,Captain & Tennille,16
Neon Nites,Atlanta Rhythm Section,11
Slow Dancin' Don't Turn Me On,The Addrisi Brothers,0
Couldn't Get It Right,Climax Blues Band,42
I'm Going Down,Rose Royce,34
Only the Lucky,Walter Egan,7
Light of a Clear Blue Morning,Dolly Parton,38
Amarillo,Neil Sedaka,12
Back Together Again,Daryl Hall & John Oates,23
Good Thing Man,Frank Lucas,0
Making A Good Thing Better,Olivia Newton-John,14
When I Need You,Leo Sayer,49
Peace of Mind,Boston,68
Lose Again,Linda Ronstadt,4
People In Love,10cc,20
This Will Be A Night To Remember,Eddie Holman,9
Do What You Wanna Do,T-Connection,31
Southern Nights,Glen Campbell,68
Whodunit,Tavares,25
Lido Shuffle,Boz Scaggs,60
Hello Stranger,The Karaoke Channel,0
Watch Closely Now,"['Barbra Streisand', 'Kris Kristofferson']",32
Hollywood,"['Chaka Khan', 'Rufus & Chaka Khan']",13
Right Time of the Night,Jennifer Warnes,40
Mainstreet,Bob Seger,54
Going in with my eyes open,David Soul,21
The Pretender,Jackson Browne,54
Calling Dr. Love,KISS,49
Dance and Shake Your Tambourine,Universal Robot Band,21
I Wanna Get Next To You,Rose Royce,33
I've Got Love On My Mind,Natalie Cole,34
On the Border,Al Stewart,39
Show You the Way to Go,The Jacksons,41
This Girl (Has Turned into a Woman),Mary MacGregor,32
I Need A Man,Grace Jones,42
So High (Rock Me Baby and Roll Me Away),Dave Mason,30
Feel The Need,The Detroit Emeralds,9
Ridin' the Storm Out,REO Speedwagon,45
So In to You,Atlanta Rhythm Section,32
Everybody Be Dancin',Starbuck,0
Dancin' Man,Q,7
Don't give up on us,David Soul,57
Can't Stop Dancin',Captain & Tennille,7
Fly At Night,Chilliwack,38
All the Kids on the Street,The Hollywood Stars,2
Rich Girl,Daryl Hall & John Oates,67
Don't Leave Me This Way,Thelma Houston,56
Cinderella,Firefall,43
Back In the Saddle,Aerosmith,58
Hooked on You,Bread,38
Tryin' To Love Two,William Bell,15
That Magic Touch,Angel,1
"Evergreen (Love Theme from, ""A Star Is Born"")",Barbra Streisand,60
My Sweet Lady,John Denver,40
I Think We're Alone Now,The Rubinoos,28
You Are on My Mind,Chicago,32
Cherry Baby,Starz,19
Hot to Trot,Wild Cherry,16
Sleepwalker,The Kinks,27
You Take My Heart Away,"['Hattie Winston', 'James Darren']",7
Sound And Vision,David Bowie,22
The Things We Do For Love,10cc,64
Dancing Queen,ABBA,74
Carry on Wayward Son,Kansas,73
My Best Friend's Wife,Paul Anka,9
I Like Dreamin',Kenny Nolan,30
Maybe I'm Amazed,Hot Fox Karaoke,0
The First Cut Is the Deepest,Rod Stewart,57
N.Y. You Got Me Dancing,Andrea True Connection,12
At Midnight (My Love Will Lift You Up),"['Chaka Khan', 'Rufus & Chaka Khan']",11
You're Throwing a Good Love Away,The Spinners,7
Arrested for Driving While Blind,ZZ Top,38
Night Moves,Bob Seger,69
There Will Come A Day (I'm Gonna Happen To You),Smokey Robinson,3
Fly Like An Eagle,Steve Miller Band,67
Free,Deniece Williams,43
Say You'll Stay Until Tomorrow,Modern Crooners United,2
Boogie Child,Bee Gees,42
Gloria,Enchantment,33
Do Ya,Electric Light Orchestra,52
Torn Between Two Lovers,Mary MacGregor,51
Romeo,Mr Big,6
Magical Mystery Tour,Ambrosia,17
Living Next Door to Alice,Smokie,56
Go Your Own Way,Fleetwood Mac,53
Be My Girl,The Dramatics,21
Crackerbox Palace,Sweet Little Band,3
I'll Be Standing By,Foghat,10
You Know Like I Know,The Ozark Mountain Daredevils,18
All Strung Out On You,John Travolta,0
Your Own Special Way,Steve Hackett,10
Somethin' 'Bout Cha',Latimore,1
Blinded by the Light,Manfred Mann's Earth Band,59
Year Of The Cat,Al Stewart,44
Here Come Those Tears Again,Jackson Browne,36
Dreamin',Loleatta Holloway,24
Weekend in New England,Barry Manilow,45
Enjoy Yourself,The Jacksons,47
Dedication,Les McKeown Legendary Bay City Rollers,0
I Wish,Stevie Wonder,63
Wake Up And Be Somebody,Brainstorm,8
If You've Got the Time,The Babys,14
Time Is Movin',The Blackbyrds,12
Car Wash,Rose Royce,53
Bite Your Lip (Get Up And Dance!),Elton John,19
Hot Line,The Sylvers,3
Save It For A Rainy Day,Stephen Bishop,43
I'm Scared,Burton Cummings,10
Reach,Orleans,22
Hard Luck Woman,KISS,50
Lost Without Your Love,Bread,46
You Make Me Feel Like Dancing,Leo Sayer,56
Race Among the Ruins,Gordon Lightfoot,34
Welcome to Our World (Of Merry Music),Mass Production,16
Walk This Way,Aerosmith,70
I Just Can't Say No to You,Parker McGee,4
You Don't Have to Be a Star (To Be in My Show),The Karaoke Channel,0
Tonight's the Night (Gonna Be Alright),Rod Stewart,34
Too Hot To Stop - Pt. 1,The Bar-Kays,43
Reaching For The World,Harold Melvin & The Blue Notes,14
Here Is Where Your Love Belongs,The Sons Of Champlin,6
Fancy Dancer,Commodores,24
After The Lovin',Engelbert Humperdinck,37
Jeans On,David Dundas,45
Saturday Nite,"Earth, Wind & Fire",37
Stand Tall,Burton Cummings,39
Look into Your Heart,Aretha Franklin,21
Feel The Beat (Everybody Disco),Ohio Players,17
Livin' Thing,Electric Light Orchestra,68
Love So Right,Bee Gees,49
Daddy Cool,Boney M.,67
Dreamboat Annie,Heart,42
When Love is New,Arthur Prysock,13
I Like to Do It,KC & The Sunshine Band,21
What Can I Say,Boz Scaggs,47
I Never Cry,Alice Cooper,46
Someone to Lay Down Beside Me,Linda Ronstadt,10
Shakey Ground,Phoebe Snow,13
Sorry Seems To Be The Hardest Word,Elton John,59
It Keeps You Runnin',The Doobie Brothers,52
"Darlin' Darlin' Baby (Sweet, Tender, Love)",The O'Jays,44
Hail! Hail! Rock And Roll!,Starland Vocal Band,14
"Do What You Want, Be What You Are",Daryl Hall & John Oates,34
"Baby, You Look Good to Me Tonight",John Denver,21
C.B. Savage,Rod Hart,13
If Not You,Dr. Hook,31
Muskrat Love,Captain & Tennille,35
Love Me,Yvonne Elliman,30
The Rubberband Man,The Spinners,64
Drivin' Wheel,Foghat,23
Shake Your Rump To The Funk,The Bar-Kays,11
Happier,Paul Anka,8
Love Ballad,L.T.D.,21
More Than a Feeling,Boston,77
Free Bird,Lynyrd Skynyrd,68
Nights Are Forever Without You,"['England Dan', 'John Ford Coley']",40
Mademoiselle,Styx,29
"9,999,999 Tears",Dickey Lee,23
Keep Me Cryin',Al Green,18
Yesterday's Hero,Bay City Rollers,6
White Bird,David Laflamme,0
You Are the Woman,Firefall,49
"Man Smart, Woman Smarter",Robert Palmer,26
Caledonia,Robin Trower,22
Lucky Man,Starbuck,0
Do You Feel Like We Do,Peter Frampton,48
Don't Take Away The Music,Tavares,42
The Wreck of the Edmund Fitzgerald,Gordon Lightfoot,57
Hello Old Friend,Eric Clapton,20
I Can't Ask for Anymore Than You,Cliff Richard,12
(She's Just A) Fallen Angel,Starz,9
Hey Baby,J.J. Cale,41
The Best Disco In Town,The Ritchie Family,35
Just To Be Close To You,Commodores,42
St. Charles,Jefferson Starship,0
If You Leave Me Now,Chicago,72
You're My Driving Wheel,The Supremes,8
Heart On My Sleeve,Bryan Ferry,17
Baby I'll Give It to You,Seals and Crofts,1
Down To Love Town,The Originals,31
Laid Back Love,Major Harris,0
Fernando,ABBA,60
All Roads (Lead Back To You),Donny Most,1
I Kinda Miss You,The Manhattans,10
Magic Man,Heart,56
I Only Want to Be with You,Bay City Rollers,36
Heart On My Sleeve,Gallagher And Lyle,27
Rock'n Me,Steve Miller Band,63
(Don't Fear) The Reaper,Blue Öyster Cult,74
Makes You Blind,The Glitter Band,3
I Don't Wanna Lose Your Love,The Emotions,31
Whenever I’m Away From You,John Travolta,18
Catfish,Four Tops,7
Play That Funky Music,Wild Cherry,66
Dog Eat Dog,Ted Nugent,34
That'll Be the Day,Linda Ronstadt,33
