song_name,cleaned_artists,popularity
FRIENDS,The Carters,51
Feel The Love,"['KIDS SEE GHOSTS', 'Pusha T']",66
You Make It Easy,Jason Aldean,58
Freeee (Ghost Town Pt. 2),"['KIDS SEE GHOSTS', 'Ty Dolla $ign']",60
Fire,KIDS SEE GHOSTS,61
Cudi Montage,KIDS SEE GHOSTS,64
Kids See Ghosts,"['KIDS SEE GHOSTS', 'Yasiin Bey']",62
Violent Crimes,Kanye West,68
Singles You Up,Jordan Davis,64
I Thought About Killing You,Kanye West,61
No Mistakes,Kanye West,61
Must've Never Met You,Luke Combs,69
Lust,Lil Skies,77
Paranoid,Post Malone,75
Infrared,Pusha T,53
King's Dead,2018 DJ Grime,0
If You Know You Know,Pusha T,63
For The First Time,Darius Rucker,64
Most People Are Good,Luke Bryan,68
Everyday,2018 DJ Grime,3
The Games We Play,Pusha T,62
Change Lanes,Kevin Gates,59
Like That,Kris Wu,45
Southside,Lil Baby,61
Let It Sing,Kevin Gates,54
Sangria Wine,"['Pharrell Williams', 'Camila Cabello']",63
Stay,Post Malone,77
ATM,J. Cole,68
Kevin’s Heart,J. Cole,72
NO EXCUSES,Meghan Trainor,69
Outside Today,YoungBoy Never Broke Again,59
Stir Fry,Migos,74
Over Now,Post Malone,74
Zack And Codeine,Post Malone,71
When We,Tank,61
Takin' Shots,Post Malone,71
92 Explorer,Post Malone,74
Barbie Tingz,Nicki Minaj,64
Otherside,Post Malone,71
Blame It On Me,Post Malone,70
Diamond Teeth Samurai,YoungBoy Never Broke Again,59
Famous,Mason Ramsey,54
Preach,YoungBoy Never Broke Again,58
Candy Paint,Post Malone,79
Sugar Wraith,Post Malone,71
Motiv8,J. Cole,66
Jonestown (Interlude),Post Malone,62
Photograph,J. Cole,64
BRACKETS,J. Cole,61
Wake Me Up,Avicii,81
Thunder,Imagine Dragons,84
Once an Addict - Interlude,J. Cole,58
Let You Down,NF,81
Feel It Still,Portugal. The Man,79
Intro,J. Cole,55
The Long Way,Brett Eldredge,65
Thru Your Phone,Cardi B,67
I Fall Apart,Post Malone,82
Bad At Love,Halsey,76
Marry Me,Thomas Rhett,71
Bickenhead,Cardi B,63
Let Me,ZAYN,70
Wasted Times,The Weeknd,69
Get Up 10,Cardi B,63
Money Bag,Cardi B,62
BILLY,6ix9ine,72
She's With Me,High Valley,58
Broken Clocks,SZA,70
Five More Minutes,Scotty McCreery,65
GOTTI,6ix9ine,70
Hardaway,Derez De’Shon,51
Tell Me You Love Me,Demi Lovato,71
Try Me,The Weeknd,69
Broken Halos,Chris Stapleton,70
All on Me,Devin Dawson,67
No Roots,Alice Merton,53
